Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City 10,000 and over in Population, 2004 ",,,,,,,,,,,
City by state,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Aberdeen Township,"18,854",37,0,7,12,18,250,36,198,16,3
Asbury Park,"16,810",359,3,5,196,155,"1,068",342,647,79,6
Atlantic City,"40,668",692,5,37,308,342,"4,649",599,"3,871",179,15
Barnegat Township,"17,755",29,0,5,2,22,184,28,149,7,0
Bayonne,"61,331",183,3,5,89,86,845,163,560,122,3
Beachwood,"10,787",11,0,0,2,9,166,28,130,8,2
Belleville,"35,853",101,0,4,41,56,844,154,424,266,2
Bellmawr,"11,340",17,0,0,5,12,246,33,191,22,2
Bergenfield,"26,364",25,0,0,11,14,261,34,209,18,2
Berkeley Heights Township,"13,667",7,0,1,0,6,87,28,58,1,0
Berkeley Township,"42,543",33,1,4,8,20,680,111,537,32,5
Bernards Township,"26,452",2,0,0,1,1,168,27,129,12,0
Bloomfield,"47,495",184,2,6,88,88,"1,914",251,"1,158",505,2
Bound Brook,"10,222",13,0,2,7,4,216,56,151,9,0
Branchburg Township,"14,952",2,0,0,1,1,122,25,88,9,0
Brick Township,"78,928",99,1,1,10,87,"1,326",273,997,56,3
Bridgeton,"22,945",404,3,14,135,252,"1,085",284,718,83,9
Bridgewater Township,"44,307",15,1,0,5,9,634,77,522,35,1
Brigantine,"12,719",10,0,2,0,8,226,48,171,7,0
Burlington Township,"21,937",29,0,5,13,11,493,49,413,31,4
Camden,"80,648","1,824",49,56,822,897,"5,291","1,159","2,775","1,357",172
Carteret,"21,805",55,1,5,20,29,418,78,279,61,3
Cedar Grove Township,"12,352",11,0,2,3,6,180,27,147,6,1
Chatham Township,"10,137",0,0,0,0,0,49,13,36,0,0
Cherry Hill Township,"71,579",101,0,5,43,53,"2,218",340,"1,738",140,7
Cinnaminson Township,"15,117",27,0,0,17,10,370,55,291,24,2
Clark Township,"14,810",4,0,0,3,1,183,14,164,5,1
Cliffside Park,"23,052",25,1,2,11,11,209,35,151,23,1
Clifton,"80,382",232,2,6,135,89,"2,099",432,"1,361",306,3
Clinton Township,"13,864",4,0,0,0,4,76,23,48,5,0
Collingswood,"14,320",46,0,3,18,25,375,75,267,33,1
Colts Neck Township,"12,043",9,0,0,0,9,131,14,115,2,0
Cranford Township,"22,836",10,0,1,5,4,260,41,205,14,0
Delran Township,"16,685",21,0,1,10,10,265,61,190,14,0
Denville Township,"16,044",14,1,0,4,9,187,30,149,8,0
Deptford Township,"28,251",133,0,0,52,81,"1,523",267,"1,125",131,8
Dover,"18,501",54,0,5,21,28,425,107,289,29,1
Dover Township,"94,327",122,3,8,30,81,"1,886",350,"1,454",82,16
Dumont,"17,646",15,0,3,3,9,171,34,130,7,0
East Brunswick Township,"48,675",37,0,5,10,22,832,110,680,42,3
East Hanover Township,"11,529",8,0,1,1,6,204,10,185,9,0
East Orange,"69,697","1,114",17,32,562,503,"4,222","1,114","1,852","1,256",48
East Windsor Township,"26,881",23,1,2,7,13,405,65,313,27,4
Eatontown,"14,223",35,0,1,18,16,575,43,506,26,2
Edison Township,"100,839",215,2,7,68,138,"2,455",394,"1,774",287,17
Egg Harbor Township,"35,306",96,0,6,35,55,962,187,738,37,3
Elizabeth,"124,077",686,10,14,473,189,"5,524",956,"2,926","1,642",7
Elmwood Park,"19,097",31,0,1,13,17,492,71,360,61,0
Englewood,"26,289",56,2,3,22,29,524,142,340,42,2
Evesham Township,"46,434",49,0,21,10,18,707,127,551,29,10
Ewing Township,"36,791",91,2,10,32,47,946,132,671,143,7
Fair Lawn,"31,806",56,0,3,21,32,493,66,399,28,3
Fairview,"13,473",58,2,2,22,32,203,61,122,20,2
Florence Township,"11,326",25,0,1,8,16,141,34,85,22,0
Florham Park,"12,596",4,0,0,0,4,116,14,96,6,1
Fort Lee,"37,399",27,0,0,16,11,465,117,322,26,2
