Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Aberdeen Township,"18,493",20,1,1,6,12,260,40,204,16,1,
Absecon,"8,478",22,0,1,9,12,224,64,157,3,1,
Allendale,"6,587",5,0,3,0,2,66,16,49,1,0,
Allenhurst,697,0,0,0,0,0,35,8,27,0,0,
Allentown,"1,840",1,0,0,0,1,30,3,25,2,0,
Alpha,"2,376",8,0,0,2,6,11,1,8,2,0,
Alpine,"2,514",1,0,0,0,1,8,1,6,1,0,
Andover Township,"6,585",8,0,0,1,7,34,10,23,1,0,
Asbury Park,"16,499",353,2,6,178,167,"1,016",298,644,74,5,
Atlantic City,"39,295",825,10,32,404,379,"2,500",379,"1,987",134,10,
Atlantic Highlands,"4,589",5,0,0,1,4,104,26,76,2,0,
Audubon,"8,852",7,0,2,4,1,302,25,270,7,1,
Audubon Park,"1,053",3,0,0,2,1,26,5,19,2,1,
Avalon,"2,087",2,0,0,1,1,247,52,195,0,0,
Avon-by-the-Sea,"2,196",0,0,0,0,0,58,11,45,2,0,
Barnegat Light,846,0,0,0,0,0,15,5,10,0,0,
Barnegat Township,"23,196",24,0,2,5,17,230,79,147,4,2,
Barrington,"6,924",7,0,2,3,2,96,17,76,3,2,
Bay Head,"1,268",1,0,0,0,1,73,12,58,3,0,
Bayonne,"56,982",185,0,7,86,92,875,209,584,82,2,
Beach Haven,"1,404",1,0,0,0,1,121,6,115,0,0,
Beachwood,"10,886",10,0,3,2,5,229,29,192,8,3,
Bedminster Township,"8,356",1,0,0,1,0,47,11,33,3,0,
Belleville,"33,610",84,1,0,49,34,718,168,405,145,7,
Bellmawr,"11,168",13,0,0,4,9,226,52,161,13,0,
Belmar,"5,891",26,0,4,6,16,287,60,222,5,0,
Belvidere,"2,622",1,0,0,0,1,17,2,14,1,0,
Bergenfield,"25,542",20,0,0,6,14,167,51,110,6,1,
Berkeley Heights Township,"13,335",3,0,0,1,2,90,21,65,4,0,
Berkeley Township,"43,044",33,0,2,7,24,643,153,482,8,3,
Berlin,"8,142",12,0,0,4,8,182,34,140,8,1,
Berlin Township,"5,429",5,0,0,0,5,187,24,155,8,1,
Bernards Township,"26,681",2,0,0,0,2,151,29,115,7,1,
Bernardsville,"7,799",2,0,0,0,2,28,4,24,0,0,
Beverly,"2,553",15,0,1,6,8,67,21,43,3,2,
Blairstown Township,"5,961",12,0,2,0,10,48,16,29,3,0,
Bloomfield,"43,489",107,0,6,69,32,997,136,718,143,0,
Bloomingdale,"7,436",2,1,0,0,1,54,12,40,2,0,
Bogota,"7,881",19,0,0,3,16,68,10,54,4,0,
Boonton,"8,467",15,0,1,5,9,144,19,124,1,1,
Boonton Township,"4,509",0,0,0,0,0,25,5,20,0,0,
Bordentown,"3,801",4,0,1,2,1,39,6,31,2,0,
Bordentown Township,"10,301",11,0,0,6,5,134,29,101,4,0,
