,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
Aberdeen Township,18271,18,1,2,4,11,291,62,225,4,2
Absecon,8439,20,0,0,11,9,218,54,158,6,1
Allendale,6527,0,0,0,0,0,58,21,36,1,0
Allenhurst,498,0,0,0,0,0,14,1,12,1,0
Allentown,1834,1,0,0,0,1,27,3,24,0,0
Alpha,2377,1,0,0,0,1,29,9,20,0,0
Alpine,1855,1,0,0,1,0,10,3,6,1,0
Andover Township,6340,1,0,0,1,0,25,11,14,0,0
Asbury Park,16170,260,4,11,114,131,1279,412,808,59,3
Atlantic City,39690,741,13,22,384,322,2938,573,2261,104,5
Atlantic Highlands,4400,7,0,0,0,7,85,9,75,1,0
Audubon,8848,11,0,0,6,5,306,30,271,5,0
Audubon Park,1026,2,0,0,2,0,29,7,22,0,0
Avalon,1338,5,0,0,1,4,266,42,220,4,0
Avon-by-the-Sea,1907,1,0,0,0,1,54,5,47,2,0
Barnegat Light,576,0,0,0,0,0,10,3,7,0,0
Barnegat Township,21006,30,0,5,7,18,214,38,174,2,5
Barrington,7006,6,0,1,2,3,64,24,38,2,0
Bay Head,971,1,0,1,0,0,87,3,84,0,0
Bayonne,63234,148,3,6,65,74,807,161,534,112,4
Beach Haven,1174,4,0,0,0,4,162,12,150,0,0
Beachwood,11082,6,0,0,1,5,251,37,210,4,0
Bedminster Township,8192,1,0,0,0,1,51,9,40,2,0
Belleville,36046,115,2,3,60,50,1013,164,637,212,3
Bellmawr,11622,23,0,2,8,13,311,84,206,21,0
Belmar,5813,20,0,0,4,16,312,123,185,4,0
Belvidere,2690,3,0,0,0,3,35,4,31,0,0
Bergenfield,26853,18,0,2,2,14,159,34,120,5,1
Berkeley Heights Township,13227,2,0,0,0,2,72,5,64,3,0
Berkeley Township,41392,38,0,1,11,26,618,122,483,13,2
